acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
583,524,158,98,-18,64,-85,-195,-155,263,-86
668,629,284,17,12,-6,-10,12,39,263,-36
757,859,427,112,51,109,-184,80,172,263,13
963,1219,399,222,82,226,-110,356,382,263,63
786,1147,23,105,60,184,12,234,629,263,113
626,968,-183,-445,-254,308,985,380,993,263,-157
736,45,-601,-270,-175,227,459,360,406,263,-107
40,-121,-178,-262,-36,44,172,-13,-82,263,-57
-102,-45,286,-82,158,-282,114,360,-157,263,-7
14,23,353,236,308,-499,58,650,-162,263,42
-27,-25,484,-166,-51,-224,-59,294,-398,263,92
-111,17,428,-101,-87,175,-490,81,-769,263,142
-737,-189,341,-396,-247,275,665,1489,-242,263,-127
-718,-721,-496,-21,273,-118,-1360,561,351,263,-77
-372,-518,-783,-147,326,121,-49,-317,-62,263,-27
-363,-343,-345,-186,311,83,251,-707,-291,263,22
-256,-527,-429,-146,353,-45,541,-764,-119,263,72
-128,-519,-445,-326,386,-170,625,-463,-182,263,122
84,-3,29,3,303,-124,197,-62,-29,263,-147
-141,136,235,-14,306,-242,-257,-476,176,263,-97
-66,342,493,-482,-198,66,-738,-1657,572,263,-47
109,405,640,-979,-454,337,96,-1228,367,263,2
668,-239,302,506,100,-147,116,-936,196,263,52
895,-349,58,42,-6,-329,701,943,39,263,102
207,37,113,-123,-125,-380,26,800,-254,263,152
183,234,224,-236,-81,-190,-209,-58,-493,263,-118
535,817,480,-378,-122,317,-1186,-267,-453,263,-68
964,895,518,541,148,1310,-312,-67,-382,263,-18
861,533,133,468,134,-26,6,-200,-262,263,31
576,594,3,5,18,125,-390,-256,-100,263,81
541,560,76,-69,3,49,-80,377,128,263,131
423,462,125,94,42,-37,-63,594,163,263,-138
284,406,172,173,-36,165,-139,442,405,263,-88
42,319,14,165,9,223,-78,138,723,263,-38
-561,117,-19,-444,-335,406,609,444,878,263,11
-126,20,-180,-451,-264,270,454,575,402,263,61
-360,-65,-283,-316,20,-136,73,1,111,263,111
44,-286,-378,50,260,-466,243,468,52,263,-158
47,-328,-159,45,243,-441,172,919,-15,263,-108
-93,-180,-47,-43,112,-352,173,977,-300,263,-58
-115,-361,64,-239,-135,-46,372,1118,-349,263,-8
-1022,-81,-158,4,-153,75,-539,1318,-20,263,41
-238,-518,-936,175,-17,-56,-307,711,-37,263,91
-473,-480,-792,-25,-72,23,-190,-7,-282,263,141
-561,-453,-559,-340,-65,44,180,-734,-304,263,-128
-272,-375,-380,-241,151,-123,384,-1121,-278,263,-78
-162,-280,-269,-28,273,-255,311,-1132,-189,263,-28
-44,-8,-55,-90,136,-194,422,-879,8,263,21
49,97,95,123,-1,-88,388,-1105,-65,263,71
108,473,405,-90,-191,177,-613,-1505,120,263,121
-82,605,493,-860,-477,359,-857,-1232,110,263,-149
733,-178,101,516,-3,-11,-181,-1166,-165,263,-99
864,-109,-8,327,74,-219,389,339,-48,263,-49
342,364,285,-32,-93,-331,188,566,50,263,0
433,559,355,-560,-342,255,-1038,-132,116,263,50
832,790,455,343,241,530,-619,-286,-98,263,100
1066,616,383,229,333,517,333,180,-69,263,150
887,556,330,358,-103,281,72,-161,-135,263,-119
874,632,303,-23,58,139,31,83,-81,263,-69
807,630,304,97,-8,104,-1,227,25,263,-19
588,454,169,138,-73,181,-48,192,81,263,30
163,413,187,35,-134,332,-47,123,182,263,80
-60,459,49,-275,-168,438,289,533,323,263,130
85,84,-118,-253,82,-61,351,404,-34,263,-139
3,-74,-59,32,237,-329,277,118,-125,263,-89
161,-87,-42,11,225,-399,40,439,-44,263,-39
-25,-85,68,-147,88,-261,-167,752,-49,263,10
131,-180,-49,-69,46,-104,-107,2046,-272,263,60
-471,142,-108,-206,-185,210,-573,1479,-409,263,110
-90,-259,-768,179,132,22,-545,1292,-240,263,160
-328,-171,-802,130,23,168,-286,712,-499,263,-110
-453,-101,-684,-61,17,223,1,84,-545,263,-60
-274,-99,-594,-14,213,75,296,-309,-399,263,-10
-206,-29,-486,-56,221,-13,501,-630,-168,263,39
4,29,-449,-49,274,-191,213,-917,-86,263,89
-363,434,-68,-120,86,71,-377,-1031,-41,263,139
-267,570,206,-414,-155,462,158,-2394,-114,263,-130
333,277,45,-8,-12,453,574,-2181,-141,263,-80
617,248,-212,196,179,-48,581,-590,47,263,-30
379,262,-203,79,-50,-259,404,-206,198,263,19
-14,471,-72,-411,-108,-296,-363,282,17,263,69
218,619,-48,155,-387,124,-321,-413,-154,263,119
703,574,-68,-240,1517,1070,291,432,-59,263,-150
367,545,110,220,500,668,224,-61,-62,263,-100
322,534,54,64,-8,84,144,246,19,263,-50
233,443,-22,12,-68,-80,72,190,163,263,0
216,347,-128,45,-45,-1,-125,206,315,263,49
149,326,-144,145,-29,128,-323,222,511,263,99
114,280,-46,265,-51,173,-417,397,769,263,149
-64,326,288,-46,-221,341,302,663,1157,263,-121
-167,58,369,-542,-180,296,571,1382,555,263,-71
-491,-68,124,-364,9,-16,449,963,295,263,-21
119,-367,-347,221,329,-427,233,458,128,263,28
276,-368,-285,76,290,-409,-98,672,29,263,78
350,-247,117,-130,91,-285,-52,1077,-285,263,128
67,-193,401,-844,-414,31,256,878,-558,263,-141
-354,-29,508,-190,-417,71,-135,863,-535,263,-91
2,27,-124,338,-66,-47,-341,577,-209,263,-41
-83,46,-217,74,-190,248,-111,-299,-366,263,8
-218,-45,-224,-362,-21,204,222,-878,-336,263,58
-160,-32,-211,-199,175,-5,380,-1117,-222,263,108
-71,-110,-115,-55,260,-191,542,-1397,-95,263,158
-3,-6,-123,0,243,-213,560,-1365,147,263,-111
-23,372,-104,57,166,-45,-198,-1070,283,263,-61
10,620,89,-669,-196,320,-659,-864,446,263,-11
168,495,369,-498,-306,264,-457,-1211,303,263,38
436,-230,108,57,-160,97,31,-1207,109,263,88
389,-177,82,127,-129,-149,681,186,-232,263,138
112,-184,148,-30,-77,-375,347,-9,-382,263,-132
-82,-90,4,-450,-92,-430,-434,37,-290,263,-82
-245,603,-50,-689,-433,101,-942,-736,-351,263,-32
649,700,17,-242,876,1582,160,34,-289,263,17
234,520,0,427,992,641,365,-672,-350,263,67
273,452,-116,102,-478,-476,164,-468,47,263,117
313,529,-260,-102,-161,-535,54,526,149,263,-152
233,502,-156,84,-147,-601,-79,933,186,263,-102
192,485,-182,37,-227,-406,-449,950,325,263,-52
196,324,-71,34,-287,-281,-355,922,590,263,-2
225,300,354,-14,-553,-572,-214,1109,718,263,47
-17,646,-42,-157,-793,-642,195,873,629,263,97
-86,274,-168,160,-610,-659,734,332,-27,263,147
117,259,-196,-321,-381,-621,322,-719,-232,263,-122
626,8,-227,-225,15,-714,336,-363,-241,263,-72
609,89,-429,-44,170,-752,175,-2,-214,263,-22
-199,-221,278,52,455,-394,254,271,-380,263,27
-768,223,751,-258,-148,157,495,1149,-283,263,77
-309,168,517,-349,45,547,-1245,1223,180,263,127
-63,-219,-155,310,103,112,-336,1201,77,263,-143
-622,-5,-535,265,-44,28,113,-562,-126,263,-93
-429,-99,-563,-17,-149,-307,334,-2002,108,263,-43
245,-235,-446,-373,-257,-74,948,-1700,-296,263,6
91,-133,-293,-501,235,-19,597,-845,-382,263,56
-155,663,306,-529,35,-194,-272,-411,8,263,106
194,493,530,205,235,-468,-540,-894,229,263,156
469,242,246,213,-27,-201,-18,-1301,84,263,-113
448,158,-2,-378,108,206,-44,-157,508,263,-63
265,45,-5,30,-245,7,-131,328,363,263,-13
110,-59,-116,-14,-121,-114,-85,-278,-23,263,36
-117,193,-146,-266,-64,-269,-376,-164,-761,263,86
-272,758,132,-963,-377,-191,-1125,273,-839,263,136
684,894,111,9,1416,1659,-400,847,-291,263,-133
674,577,30,662,343,215,-122,289,-355,263,-83
161,536,-44,249,-152,121,142,65,-100,263,-33
189,477,7,-35,176,9,-412,546,479,263,16
194,273,33,25,23,-165,-461,270,652,263,66
71,242,-29,-35,-132,-47,-390,-37,808,263,116
-331,242,-2,-217,-420,306,657,-45,1004,263,-153
-180,-27,-93,-570,-385,378,884,-113,229,263,-103
-106,-211,-101,-460,-200,71,654,-314,-86,263,-53
322,-244,-159,-116,154,-407,349,-128,-142,263,-3
216,-188,-31,-72,255,-500,51,326,-165,263,46
214,-132,197,41,237,-476,-237,777,-244,263,96
-132,-80,173,-204,-6,-162,-478,854,-531,263,146
-519,160,34,-866,-433,457,-701,1112,-306,263,-124
-182,-53,-372,233,67,-19,-367,1139,-166,263,-74
-211,-127,-713,196,-19,-20,-702,691,-119,263,-24
-424,-136,-600,-200,-60,29,-144,-74,-88,263,25
-347,-149,-475,-457,-22,92,108,-351,-13,263,75
-258,-106,-387,-249,287,-108,393,-587,64,263,125
-222,-65,-364,-32,347,-230,538,-917,143,263,-144
25,-40,-368,47,196,-177,636,-1129,41,263,-94
-173,42,-235,55,73,-57,-17,-1876,77,263,-44
-314,418,237,-1070,-535,482,-579,-1454,192,263,5
105,236,375,-53,-269,97,52,-1740,-260,263,55
650,-134,85,433,57,-92,61,-1335,-376,263,105
256,147,85,-62,-145,-105,570,-362,-318,263,155
84,104,66,-166,-60,-274,126,-618,-355,263,-114
-220,358,23,-1011,-327,-51,-537,-720,-74,263,-64
313,471,10,243,129,406,-1051,-32,107,263,-14
548,444,-5,225,631,339,433,694,-64,263,35
167,503,-10,192,309,543,179,131,-356,263,85
222,473,-104,127,4,355,-16,336,-354,263,135
120,419,-87,24,1,-16,34,225,-184,263,-135
148,391,-158,53,-28,-94,-227,434,166,263,-85
143,348,-30,121,30,-44,27,926,687,263,-35
-115,236,-1,-36,-54,113,-269,568,855,263,14
-189,127,-92,-420,132,830,537,661,972,263,64
-77,3,-129,-420,419,138,693,894,324,263,114
40,-189,-232,-327,-135,-104,357,596,305,263,-155
198,-253,-205,-47,177,-433,396,1145,37,263,-105
55,-142,-68,39,213,-472,14,1506,96,263,-55
7,-183,28,-137,21,-185,63,1410,-123,263,-5
-44,-106,68,-551,-159,83,138,1448,-470,263,44
-475,23,-345,-107,-162,214,-796,2145,-140,263,94
-326,-122,-748,98,22,17,-565,1537,-137,263,144
-329,-177,-864,115,39,113,-131,706,-186,263,-125
