acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
1215,450,618,358,-723,73,-506,253,18,263,-66
835,547,569,218,-412,166,-186,41,164,263,-16
132,426,545,41,-271,66,108,-307,360,263,33
-101,470,126,-107,-234,58,128,-309,371,263,83
-128,254,-7,-103,-161,-2,255,-108,13,263,133
-24,53,-96,8,175,-51,131,-51,-30,263,-136
66,-163,21,42,0,-210,243,-588,123,263,-86
-26,-289,198,-63,-45,-244,279,-665,150,263,-36
26,-241,255,-143,-90,-229,323,-429,24,263,13
78,-203,235,-91,-105,-185,456,-43,-156,263,63
24,-140,208,-29,-91,-152,409,280,-243,263,113
8,-64,173,-5,-90,-101,438,367,-237,263,-157
84,-29,143,52,-47,-55,258,401,-151,263,-107
68,-14,138,39,-31,-9,97,298,-80,263,-57
81,-15,122,52,-31,27,69,96,-45,263,-7
84,-1,132,37,-37,39,100,-126,-39,263,42
94,33,152,50,-49,5,103,-159,-18,263,92
94,47,151,47,-62,-25,71,-180,6,263,142
103,55,153,51,-60,-17,52,-158,3,263,-127
97,43,163,31,-67,28,61,-142,8,263,-77
120,49,162,20,-40,39,12,73,-47,263,-27
94,45,195,41,4,-22,-112,258,-63,263,22
102,26,178,55,-23,0,-109,222,-54,263,72
80,25,136,81,-81,52,-117,167,-56,263,122
88,19,143,79,-95,25,-145,183,-10,263,-147
112,33,161,71,-103,4,-141,179,-9,263,-97
58,57,166,39,-102,-12,-135,109,-24,263,-47
85,21,149,63,-65,7,-156,24,-24,263,2
83,19,144,52,-34,14,-161,-17,14,263,52
77,18,147,35,-43,-4,-130,-77,25,263,102
86,16,113,62,-24,-37,-124,-144,19,263,152
31,13,82,-1,-47,-77,-319,-209,69,263,-118
31,-10,52,-8,-152,-185,-557,-291,99,263,-68
52,-19,19,-64,64,-58,-916,-288,68,263,-18
-14,-50,0,-45,63,-71,-963,-264,92,263,31
-35,-68,-48,-117,-7,-194,-958,-161,121,263,81
-86,-58,-77,-102,50,-286,-885,-145,77,263,131
-169,-45,-146,-285,3,-419,-541,-196,15,263,-138
-143,-66,-195,-183,40,-399,-244,-171,-51,263,-88
-78,-81,-151,-150,15,-214,15,-85,-84,263,-38
-82,-57,-124,-156,-2,-186,90,-12,-93,263,11
-99,-29,-147,-165,33,-372,159,20,-88,263,61
-94,-4,-174,-163,15,-386,194,43,-84,263,111
-79,5,-155,-138,-19,-307,235,89,-92,263,-158
-61,21,-100,-76,-76,-286,321,98,-76,263,-108
-28,17,-76,-97,83,-263,387,4,-32,263,-58
-25,-12,-97,-139,155,-147,145,-43,42,263,-8
-45,-28,-96,-68,-137,-234,-5,23,56,263,41
-48,-48,-74,-101,41,-249,-40,64,42,263,91
-35,-40,-61,-92,-13,-249,-37,7,1,263,141
-44,-13,-35,-59,-23,-205,-38,26,-19,263,-128
-44,6,-17,-55,-45,-161,1,-40,24,263,-78
-21,24,-76,-70,-51,-124,14,-47,1,263,-28
-41,23,-80,-77,-16,-148,12,-17,-17,263,21
-38,0,-65,-87,4,-195,23,-13,-2,263,71
-36,-24,-60,-90,18,-192,29,-48,-19,263,121
-30,-26,-59,-85,2,-173,24,-33,-17,263,-149
-30,-2,-67,-71,-11,-156,8,-11,-21,263,-99
-42,17,-51,-74,-29,-158,23,20,-30,263,-49
-33,24,-36,-64,-36,-145,133,45,-41,263,0
-32,13,-13,-78,-31,-93,244,145,-66,263,50
-12,29,-12,-61,-3,-71,332,233,-90,263,100
-9,43,0,-27,15,-56,437,243,-87,263,150
13,47,14,-4,2,-44,543,203,-48,263,-119
50,33,29,1,0,-33,597,154,-46,263,-69
74,37,72,27,23,-34,567,122,-62,263,-19
113,26,76,56,-7,-64,491,95,-81,263,30
101,29,68,52,-36,-48,280,85,-106,263,80
125,22,61,96,-51,-40,-4,116,-59,263,130
36,53,307,-95,-136,12,-209,267,-43,263,-139
164,37,244,33,-67,-23,-126,343,-69,263,-89
116,-2,58,-32,-50,-28,-219,416,-52,263,-39
96,113,110,-161,-78,14,-345,1019,-276,263,10
46,195,201,153,84,-57,-535,543,-280,263,60
119,771,272,108,79,0,-481,437,-270,263,110
475,1822,-650,-54,40,37,-420,303,-211,263,160
1092,1578,-1412,13,72,295,19,318,-71,263,-110
1990,1005,-2035,12,69,67,235,342,74,263,-60
2346,441,-1765,-64,77,135,287,423,-8,263,-10
