acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-3645,1986,871,-2912,-2604,1228,-962,350,-220,263,139
696,214,-160,98,-180,1051,438,-361,-206,263,-130
1857,-401,-624,1814,1052,-687,-1471,-173,212,263,-80
1534,-787,-677,1437,1170,-575,-328,-270,275,263,-30
-3282,1778,1065,-2664,-1972,1063,-236,457,-1,263,19
-659,1011,209,-1693,-1679,1339,-761,156,123,263,69
2057,-372,-657,1826,1364,-215,2518,563,-392,263,119
1502,-846,-795,1509,1318,-753,-752,201,106,263,-150
735,-393,-344,-1604,-1285,686,-245,88,223,263,-100
-1894,1364,691,-2971,-2123,1351,-931,-236,136,263,-50
2133,-498,-653,1668,1140,-187,2388,64,-179,263,0
1628,-780,-844,1376,1250,-759,-1255,-79,-121,263,49
1075,-344,-565,-1514,-1372,836,-208,331,-168,263,99
-3891,2034,823,-2628,-2145,1639,-142,-237,-371,263,149
2123,-464,-726,2020,764,-154,1671,-716,-74,263,-121
1525,-813,-747,1390,1205,-1114,-134,-399,162,263,-71
1429,-702,-676,-146,-330,69,-709,576,545,263,-21
-3166,1844,818,-3210,-2621,1125,-411,-713,125,263,28
1525,-255,-518,706,333,558,1662,-567,-331,263,78
1732,-614,-692,1513,1266,-605,87,-238,-300,263,128
1444,-745,-738,1484,1205,-751,-680,25,8,263,-141
-3047,1657,680,-3307,-2426,1062,-537,36,-332,263,-91
-1375,1147,229,425,264,270,982,-503,-43,263,-41
1614,-640,-737,1562,1028,-780,218,-744,-23,263,8
1603,-816,-830,1344,1506,-518,-229,-350,81,263,58
-2532,1447,443,-3105,-2162,1034,-235,156,-8,263,108
-2480,1774,618,-669,-621,956,-449,907,-16,263,158
1643,-847,-671,1545,1186,-650,1022,1005,-186,263,-111
1505,-989,-955,1296,1338,-965,-1432,511,27,263,-61
-1203,865,-199,-17,58,5,-134,571,-155,263,-11
-3507,1567,1008,-1092,-936,1864,-1055,74,20,263,38
1222,-435,-481,1211,1137,-996,69,-576,-8,263,88
1553,-1210,-1113,1499,1565,-936,-708,-1305,227,263,138
54,272,-98,749,672,-287,1037,90,23,263,-132
-4009,2195,1055,-2829,-1758,1583,-1691,225,69,263,-82
1256,130,-347,1621,1271,308,749,1842,-187,263,-32
1467,-1131,-981,1404,1324,-1319,-183,549,-263,263,17
257,-294,-313,1160,835,-276,-206,341,-52,263,67
-3995,1980,770,-3291,-2167,1102,-728,589,79,263,117
1140,-289,-615,1862,1245,194,1182,-99,-197,263,-152
1487,-741,-746,1387,1233,-1233,-1158,4,335,263,-102
97,-103,-119,974,919,-281,-537,175,492,263,-52
-3816,1407,816,-3381,-2020,1060,-765,-106,47,263,-2
1093,-190,-407,1696,1328,-308,1121,-28,-201,263,47
1592,-671,-801,1517,1237,-1054,-279,-3,-5,263,97
345,-258,-397,988,811,-375,-934,-30,270,263,147
-3930,1838,877,-3238,-1982,1023,1119,-142,-418,263,-122
1091,-40,-233,-101,-349,639,1553,335,-145,263,-72
1523,-801,-523,1457,1193,-611,444,-438,52,263,-22
1583,-1166,-1126,1349,1044,-889,-1212,-554,104,263,27
-3836,1751,416,-2575,-1693,905,56,-162,-297,263,77
-587,854,407,-1552,-1309,1434,-279,87,-76,263,127
1717,-620,-684,1180,1430,-1588,805,174,212,263,-143
1429,-1262,-1049,1055,1415,-483,-895,666,455,263,-93
-2991,1268,546,-1527,-857,507,-701,259,200,263,-43
-1856,1035,614,-2898,-1932,1604,115,-382,-129,263,6
1855,-509,-836,1787,1016,-459,1818,-140,-426,263,56
1350,-911,-890,1387,1218,-464,-1601,-66,101,263,106
1121,-756,-642,-597,-384,205,593,-324,-91,263,156
-2956,1963,792,-3359,-2290,1442,237,-17,-209,263,-113
